name,event id,event source,operation,source,destination,description,note
name-1,4624,Microsoft-Windows-Security-Auditing,LogonType,IpAddress:SubjectUserName,TargetDomainName:TargetUserName,An account was successfully logged on,"when a user unlocks computer, Windows creates a new logon session and immediately closes it"
name-2,4634,Microsoft-Windows-Security-Auditing,LogonType,,TargetDomainName:TargetUserName,An account was logged off.,"①TargetLogonId可以与4624中的关联②不可靠事件，可能因关机或断网等意外导致事件未被记录"
name-3,4656,Microsoft-Windows-Security-Auditing,,,,A handle to an object was requested,"未找到记录"
name-4,5140,Microsoft-Windows-Security-Auditing,,,,A network share object was accessed,
name-5,4769,Microsoft-Windows-Security-Auditing,,,,A Kerberos service ticket was requested,
name-6,4688,Microsoft-Windows-Security-Auditing,,SubjectDomainName:SubjectUserName:ParentProcessName:ProcessId,NewProcessName:NewProcessId,A new process has been created.,"sysmon中有对应事件，多记录了一项命令行参数"
name-7,4658,Microsoft-Windows-Security-Auditing,,,,The handle to an object was closed,
name-8,4768,Microsoft-Windows-Security-Auditing,,,,A Kerberos authentication ticket (TGT) was requested,
name-9,4672,Microsoft-Windows-Security-Auditing,PrivilegeList,SubjectDomainName:SubjectUserName,,Special privileges assigned to new logon.,
name-10,4933,Microsoft-Windows-Security-Auditing,,,,Synchronization of a replica of an Active Directory naming context has ended.,"Directory Service replication has little to no security relevance"
name-11,4932,Microsoft-Windows-Security-Auditing,,,,Synchronization of a replica of an Active Directory naming context has begun.,
name-12,4663,Microsoft-Windows-Security-Auditing,,,,An attempt was made to access an object,
name-13,4659,Microsoft-Windows-Security-Auditing,,,,A handle to an object was requested with intent to delete,
name-14,4770,Microsoft-Windows-Security-Auditing,,,,A Kerberos service ticket was renewed,
name-15,4776,Microsoft-Windows-Security-Auditing,,,,The domain controller attempted to validate the credentials for an account,
name-16,4664,Microsoft-Windows-Security-Auditing,,,,An attempt was made to create a hard link.,
name-17,4907,Microsoft-Windows-Security-Auditing,,,,Auditing settings on object were changed.,
name-18,4931,Microsoft-Windows-Security-Auditing,,,,An Active Directory replica destination naming context was modified.,
name-19,7036,Service Control Manager,,,,EVENT_SERVICE_STATUS_SUCCESS,
name-20,7040,Service Control Manager,,,,Service start type changed,
name-21,4662,Microsoft-Windows-Security-Auditing,,,,An operation was performed on an object,
name-22,4648,Microsoft-Windows-Security-Auditing,,,,A logon was attempted using explicit credentials.,
name-23*,5722,NETLOGON,,,,Netlogon Server auth failed,
name-24,4690,Microsoft-Windows-Security-Auditing,,,,An attempt was made to duplicate a handle to an object.,
name-25,4985,Microsoft-Windows-Security-Auditing,,,,The state of a transaction has changed,
name-26,900,Trend Micro OfficeScan Server,,,,900-trend micro officescan,"日本公司Trend Micro的防毒软件"
name-27,4742,Microsoft-Windows-Security-Auditing,,,,A computer account was changed,
name-28,4660,Microsoft-Windows-Security-Auditing,,,,An object was deleted,
name-29,5447,Microsoft-Windows-Security-Auditing,,,,A Windows Filtering Platform filter has been changed.,
name-30,4740,Microsoft-Windows-Security-Auditing,,,,A user account was locked out.,
name-31,4738,Microsoft-Windows-Security-Auditing,,,,A user account was changed,
name-32,5136,Microsoft-Windows-Security-Auditing,,,,A directory service object was modified.,
name-33,5143,Microsoft-Windows-Security-Auditing,,,,A network share object was modified.,
name-34,4945,Microsoft-Windows-Security-Auditing,,,,A rule was listed when the Windows Firewall started.,
